_u,_v,abs(NearPoyntingTotal)[irrad_W_per_m2]
4,1,7.26652e-05
4.5,1,0.000182522
5,1,0.000389835
5.5,1,5.29753e-05
6,1,0.000175371
6.5,1,0.000397087
7,1,0.000603595
7.5,1,0.000435029
8,1,5.08635e-05
8.5,1,6.51837e-05
9,1,0.000514335
9.5,1,0.000289181
10,1,6.18699e-05
-10,1.5,6.21632e-05
-9.5,1.5,1.9089e-05
-9,1.5,2.13502e-05
-8.5,1.5,2.30732e-05
-8,1.5,9.93708e-05
-7.5,1.5,5.13723e-05
-7,1.5,6.71792e-06
-6.5,1.5,1.59782e-05
-6,1.5,1.37612e-05
-5.5,1.5,8.11788e-06
-5,1.5,5.83488e-05
-4.5,1.5,0.000105832
-4,1.5,0.000296827
-3.5,1.5,0.00035847
-3,1.5,0.000222312
-2.5,1.5,0.000103923
-2,1.5,0.000231604
-1.5,1.5,0.000299578
-1,1.5,0.00012326
-0.5,1.5,4.34971e-05
0,1.5,0.000152503
0.5,1.5,0.000160724
1,1.5,0.000172205
1.5,1.5,0.000267821
2,1.5,0.00026722
