_u,_v,dB(NearETotal)
-16.8,-7.2,-12.9749
-16,-7.2,-12.5866
-15.2,-7.2,-7.20611
-14.4,-7.2,-8.27363
-13.6,-7.2,-6.52284
-12.8,-7.2,-9.03584
-12,-7.2,-12.9506
-11.2,-7.2,-9.73042
-10.4,-7.2,-13.9305
-9.6,-7.2,-22.9685
-8.8,-7.2,-16.1915
-8,-7.2,-16.4122
-7.2,-7.2,-15.3724
-6.4,-7.2,-18.4245
-5.6,-7.2,-18.092
-4.8,-7.2,-15.1695
-4,-7.2,-20.1759
-3.2,-7.2,-23.0025
-2.4,-7.2,-13.0303
-1.6,-7.2,-10.568
-0.8,-7.2,-12.8645
0,-7.2,-15.6341
0.8,-7.2,-15.2438
1.6,-7.2,-27.0016
2.4,-7.2,-17.6536
3.2,-7.2,-15.0985
4,-7.2,-22.885
4.8,-7.2,-18.8659
5.6,-7.2,-18.099
6.4,-7.2,-16.9083
7.2,-7.2,-16.0757
8,-7.2,-24.3566
8.8,-7.2,-30.5828
9.6,-7.2,-21.5944
10.4,-7.2,-27.1287
11.2,-7.2,-22.6951
12,-7.2,-22.2635
12.8,-7.2,-19.1108
13.6,-7.2,-22.7189
14.4,-7.2,-23.213
15.2,-7.2,-25.4509
16,-7.2,-21.3871
16.8,-7.2,-25.7251
17.6,-7.2,-17.7093
18.4,-7.2,-17.7941
19.2,-7.2,-21.7203
20,-7.2,-23.7507
-20,-6.4,-7.60829
-19.2,-6.4,1.45838
-18.4,-6.4,-9.91062
-17.6,-6.4,-6.82366
-16.8,-6.4,-5.92439
-16,-6.4,-7.81122
-15.2,-6.4,-14.2891
-14.4,-6.4,-6.79557
-13.6,-6.4,-11.2903
-12.8,-6.4,-5.01791
-12,-6.4,-4.16758
-11.2,-6.4,-13
-10.4,-6.4,-12.4083
-9.6,-6.4,-9.09083
-8.8,-6.4,-11.5175
-8,-6.4,-8.18278
-7.2,-6.4,-7.18969
-6.4,-6.4,-18.137
-5.6,-6.4,-9.26466
-4.8,-6.4,-11.5062
-4,-6.4,-10.3199
-3.2,-6.4,-15.2726
-2.4,-6.4,-13.6487
-1.6,-6.4,-18.6416
-0.8,-6.4,-11.8971
0,-6.4,-19.4357
0.8,-6.4,-13.5944
1.6,-6.4,-18.152
2.4,-6.4,-17.2142
3.2,-6.4,-15.15
4,-6.4,-19.674
4.8,-6.4,-17.8416
5.6,-6.4,-19.9692
6.4,-6.4,-19.8037
