_u,_v,dB(NearETotal)
-6,-9,-9.40216
-5.5,-9,-14.1447
-5,-9,-8.65612
-4.5,-9,-7.40859
-4,-9,-21.1663
-3.5,-9,-3.92229
-3,-9,-5.13523
-2.5,-9,-3.4109
-2,-9,-6.12572
-1.5,-9,-13.1502
-1,-9,-14.2636
-0.5,-9,-12.7673
0,-9,-10.8779
0.5,-9,-6.32201
1,-9,-6.12423
1.5,-9,-5.53665
2,-9,-9.25291
2.5,-9,-8.14007
3,-9,-3.58654
3.5,-9,-11.3618
4,-9,-4.67125
4.5,-9,-9.97488
5,-9,-12.6313
5.5,-9,-13.9297
6,-9,-12.7181
6.5,-9,-9.83771
7,-9,-10.9131
7.5,-9,-16.7142
8,-9,-15.3504
8.5,-9,-18.0506
9,-9,-10.2231
9.5,-9,-9.16149
10,-9,-9.62092
10.5,-9,-12.6223
11,-9,-9.13586
11.5,-9,-16.1177
12,-9,-14.7754
12.5,-9,-15.8693
13,-9,-16.9679
13.5,-9,-15.8251
14,-9,-19.0348
14.5,-9,-14.6998
15,-9,-13.8412
-15,-8.5,-1.88207
-14.5,-8.5,-3.95058
-14,-8.5,-3.51793
-13.5,-8.5,-4.51931
-13,-8.5,-4.94939
-12.5,-8.5,-10.5584
-12,-8.5,-15.8106
-11.5,-8.5,-12.074
-11,-8.5,-18.3677
-10.5,-8.5,-14.7529
-10,-8.5,-11.6919
-9.5,-8.5,-10.083
-9,-8.5,-15.3495
-8.5,-8.5,-12.8782
-8,-8.5,-16.0883
-7.5,-8.5,-12.4725
-7,-8.5,-13.0066
-6.5,-8.5,-12.5425
-6,-8.5,-8.47345
-5.5,-8.5,-9.20906
-5,-8.5,-8.04998
-4.5,-8.5,-8.13038
-4,-8.5,-5.64909
-3.5,-8.5,-4.62776
-3,-8.5,-2.8511
-2.5,-8.5,-8.2549
-2,-8.5,-6.1176
-1.5,-8.5,-14.5171
-1,-8.5,-5.04665
-0.5,-8.5,-8.73116
0,-8.5,-5.15254
0.5,-8.5,-6.45867
1,-8.5,-4.59388
1.5,-8.5,-4.38625
2,-8.5,-9.09476
2.5,-8.5,-9.67434
3,-8.5,-7.81147
3.5,-8.5,-10.6915
4,-8.5,-9.16485
4.5,-8.5,-11.5336
5,-8.5,-7.55123
5.5,-8.5,-10.7507
6,-8.5,-17.6325
6.5,-8.5,-20.0066
7,-8.5,-17.5053
7.5,-8.5,-12.9377
8,-8.5,-16.3494
8.5,-8.5,-11.0834
9,-8.5,-9.56488
9.5,-8.5,-9.39609
10,-8.5,-9.62878
10.5,-8.5,-10.8006
11,-8.5,-9.37052
11.5,-8.5,-15.7332
12,-8.5,-11.0802
12.5,-8.5,-13.73
13,-8.5,-17.4504
13.5,-8.5,-16.7135
14,-8.5,-18.4086
14.5,-8.5,-16.0281
15,-8.5,-15.8295
-15,-8,2.49245
-14.5,-8,-1.73096
-14,-8,-0.967548
-13.5,-8,-6.99677
-13,-8,-8.11802
-12.5,-8,-6.98504
-12,-8,-9.3455
-11.5,-8,-5.0237
-11,-8,-6.00385
-10.5,-8,-11.3582
-10,-8,-14.3101
-9.5,-8,-12.5959
-9,-8,-11.1221
-8.5,-8,-15.0386
-8,-8,-12.1689
-7.5,-8,-8.54887
-7,-8,-14.1219
-6.5,-8,-11.457
-6,-8,-9.04357
-5.5,-8,-8.51025
-5,-8,-6.59579
-4.5,-8,-5.84919
-4,-8,-2.8163
-3.5,-8,-2.77857
-3,-8,-9.99865
-2.5,-8,-12.4676
-2,-8,-8.64978
-1.5,-8,-8.43676
-1,-8,-3.58179
-0.5,-8,-4.47906
0,-8,-5.53017
0.5,-8,-6.79558
1,-8,-8.63419
1.5,-8,-9.0194
2,-8,-9.05043
2.5,-8,-9.64625
3,-8,-11.7552
3.5,-8,-6.95833
4,-8,-10.5904
4.5,-8,-8.40364
5,-8,-16.4516
5.5,-8,-18.356
6,-8,-13.1566
6.5,-8,-14.6831
7,-8,-13.004
7.5,-8,-12.9975
8,-8,-15.9813
8.5,-8,-17.6811
9,-8,-19.8441
9.5,-8,-10.3307
10,-8,-9.75155
10.5,-8,-11.7643
11,-8,-15.4381
11.5,-8,-16.888
12,-8,-13.3513
12.5,-8,-11.1831
13,-8,-20.1615
13.5,-8,-16.6298
14,-8,-17.7351
14.5,-8,-16.2056
15,-8,-15.8532
-15,-7.5,-11.5924
-14.5,-7.5,-5.11576
-14,-7.5,-13.1038
-13.5,-7.5,-3.2632
-13,-7.5,-9.43991
-12.5,-7.5,-3.65335
-12,-7.5,-12.0523
-11.5,-7.5,-10.2076
-11,-7.5,-13.1124
-10.5,-7.5,-16.2862
-10,-7.5,-9.8295
-9.5,-7.5,-7.7096
-9,-7.5,-6.31988
-8.5,-7.5,-13.5003
-8,-7.5,-12.0024
